# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02924
# Diagonal elements of inverse mass matrix:
# 0.414588
-7.70148,0.982799,1.02924,1,3,0,7.75374,0.2862
-7.70148,0.632464,1.02924,1,3,0,9.33406,0.2862
-7.68884,1,1.02924,1,1,0,7.70959,0.291035
-7.73033,0.988928,1.02924,1,1,0,7.73743,0.276821
-8.12163,0.955901,1.02924,2,3,0,8.16839,0.473379
-8.12163,0.500248,1.02924,1,1,0,9.57556,0.473379
-8.1609,0.987177,1.02924,1,1,0,8.30942,0.479091
-10.6887,0.442814,1.02924,1,1,0,10.6947,0.681593
-9.21791,1,1.02924,1,1,0,10.5372,0.587995
-8.0274,1,1.02924,2,3,0,9.01667,0.222148
-8.0274,0.807753,1.02924,1,3,0,9.23829,0.222148
-7.75122,1,1.02924,1,1,0,7.95965,0.270995
-7.82004,0.982541,1.02924,1,1,0,7.83764,0.255182
-8.29195,0.894947,1.02924,1,1,0,8.29211,0.193348
-7.87285,1,1.02924,1,1,0,8.20042,0.245251
-7.87285,0.726568,1.02924,1,3,0,9.30646,0.245251
-7.89472,0.994708,1.02924,1,1,0,7.95066,0.241521
-8.46126,0.871942,1.02924,2,3,0,9.08396,0.178848
-7.94889,1,1.02924,1,1,0,8.35488,0.233019
-7.74604,1,1.02924,1,1,0,7.90138,0.272379
-8.56881,0.888449,1.02924,2,3,0,8.76607,0.528847
-8.26245,1,1.02924,2,3,0,8.62504,0.492936
-8.46182,0.978819,1.02924,2,3,0,8.6328,0.51712
-9.51662,0.710431,1.02924,1,1,0,9.65569,0.61047
-7.68527,1,1.02924,1,3,0,9.39348,0.292514
-7.64046,0.996288,1.02924,2,3,0,7.70859,0.324165
-9.2259,0.636122,1.02924,1,3,0,9.65831,0.132305
-9.2259,0.820165,1.02924,1,1,0,10.5638,0.132305
-9.88689,0.912043,1.02924,1,1,0,10.0215,0.105542
-8.54954,1,1.02924,1,1,0,9.66803,0.172106
-7.6822,0.948331,1.02924,1,3,0,8.70808,0.37446
-7.6993,0.994716,1.02924,1,1,0,7.70986,0.381932
-8.0704,0.946116,1.02924,2,3,0,8.08935,0.216758
-9.29833,0.913146,1.02924,2,3,0,9.38126,0.594278
-8.07667,1,1.02924,2,3,0,9.07696,0.216001
-7.66294,1,1.02924,1,3,0,7.99139,0.303533
-7.6919,0.979876,1.02924,2,3,0,7.79229,0.378841
-7.64138,1,1.02924,1,3,0,7.67771,0.34429
-7.64138,0.89946,1.02924,1,3,0,8.01186,0.34429
-7.65554,0.998109,1.02924,2,3,0,7.65651,0.30831
-7.67999,0.950588,1.02924,2,3,0,7.93906,0.373399
-7.64611,0.988066,1.02924,2,3,0,7.74529,0.35062
-10.0811,0.626894,1.02924,2,3,0,10.2427,0.0991083
-9.27472,1,1.02924,1,1,0,10.082,0.130012
-7.73093,1,1.02924,1,3,0,9.08122,0.276644
-7.89001,0.96019,1.02924,1,1,0,7.89424,0.242308
-9.19137,0.799487,1.02924,1,3,0,9.23733,0.133964
-7.65901,1,1.02924,2,3,0,8.8905,0.361476
-8.05549,0.809418,1.02924,2,3,0,8.65383,0.463211
-7.63888,0.95394,1.02924,2,3,0,8.31857,0.338467
-8.65444,0.830653,1.02924,2,3,0,8.83033,0.164686
-7.87353,0.896185,1.02924,2,3,0,9.53881,0.430148
-8.42635,0.834661,1.02924,1,1,0,8.4487,0.513058
-8.36484,1,1.02924,1,1,0,8.63103,0.505784
-7.67033,0.987862,1.02924,2,3,0,8.4664,0.299458
-8.06569,0.917017,1.02924,1,3,0,8.08368,0.217333
-7.96576,1,1.02924,1,1,0,8.10279,0.230553
-8.82548,0.878156,1.02924,1,3,0,8.82632,0.153735
-8.08329,1,1.02924,1,1,0,8.67851,0.215208
-8.05973,1,1.02924,1,1,0,8.17673,0.218064
-7.63876,0.990229,1.02924,1,3,0,8.03838,0.338001
-7.64097,0.955666,1.02924,2,3,0,7.86285,0.34356
